date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry
1984-05-28,Roland Garros,G,5,C,false,F,Ivan Lendl,2,Czech Republic,CZE,2,22,2419,John McEnroe,1,United States,USA,1,-21,2535,3-6 2-6 6-4 7-5 7-5,
1984-05-28,Roland Garros,G,5,C,false,SF,John McEnroe,1,United States,USA,1,9,2526,Jimmy Connors,3,United States,USA,3,-9,2397,7-5 6-1 6-2,
1984-05-28,Roland Garros,G,5,C,false,QF,John McEnroe,1,United States,USA,1,3,2523,Jimmy Arias,5,United States,USA,6,-3,2151,6-3 6-4 6-4,
1984-05-28,Roland Garros,G,5,C,false,R16,John McEnroe,1,United States,USA,1,2,2521,Jose Higueras,12,Spain,ESP,7,-3,2125,6-4 7-6 3-6 6-3,
1984-05-28,Roland Garros,G,5,C,false,R32,John McEnroe,1,United States,USA,1,2,2519,Mel Purcell,,United States,USA,28,-1,1993,6-4 6-4 6-1,
1984-05-28,Roland Garros,G,5,C,false,R64,John McEnroe,1,United States,USA,1,,2519,Ben Testerman,,United States,USA,194,-1,1883,6-4 6-1 6-4,
1984-05-28,Roland Garros,G,5,C,false,R128,John McEnroe,1,United States,USA,1,,2519,Horacio De La Pena,,Argentina,ARG,295,,1609,6-3 6-1 6-3,Q
1984-05-21,Dusseldorf,T,3,C,false,F,John McEnroe,,United States,USA,1,7,2512,Ivan Lendl,,Czech Republic,CZE,2,-7,2403,6-3 6-2,
1984-05-21,Dusseldorf,T,3,C,false,RR,John McEnroe,,United States,USA,1,1,2511,Andreas Maurer,,Germany,GER,106,-1,1862,6-1 6-2,
1984-05-21,Dusseldorf,T,3,C,false,RR,John McEnroe,,United States,USA,1,1,2510,Jose Higueras,,Spain,ESP,7,-2,2120,6-3 6-0,
1984-05-21,Dusseldorf,T,3,C,false,RR,John McEnroe,,United States,USA,1,2,2508,Jose Luis Clerc,,Argentina,ARG,8,-1,2058,6-3 6-3,
1984-05-06,Forest Hills WCT,A,3,C,false,F,John McEnroe,2,United States,USA,1,7,2501,Ivan Lendl,3,Czech Republic,CZE,2,-8,2402,6-4 6-2,
1984-05-06,Forest Hills WCT,A,3,C,false,SF,John McEnroe,2,United States,USA,1,3,2498,Jimmy Arias,4,United States,USA,6,-3,2147,6-1 6-2,
1984-05-06,Forest Hills WCT,A,3,C,false,QF,John McEnroe,2,United States,USA,1,1,2497,Johan Kriek,5,United States,USA,15,-2,2108,4-6 6-3 6-2,
1984-05-06,Forest Hills WCT,A,3,C,false,R16,John McEnroe,2,United States,USA,1,1,2496,Steve Denton,,United States,USA,58,-1,1986,6-3 6-2,
1984-05-06,Forest Hills WCT,A,3,C,false,R32,John McEnroe,2,United States,USA,1,,2496,Derek Tarr,,United States,USA,115,,1750,6-3 6-4,
1984-04-24,Dallas WCT,L,5,P,true,F,John McEnroe,1,United States,USA,1,11,2485,Jimmy Connors,2,United States,USA,3,-11,2408,6-1 6-2 6-3,
1984-04-24,Dallas WCT,L,5,P,true,SF,John McEnroe,1,United States,USA,1,2,2483,Kevin Curren,,United States,USA,9,-2,2081,6-3 6-3 6-4,
1984-04-24,Dallas WCT,L,5,P,true,QF,John McEnroe,1,United States,USA,1,2,2481,Vitas Gerulaitis,,United States,USA,20,-2,2083,6-3 6-1 6-3,
1984-03-05,Brussels,M,3,P,true,F,John McEnroe,2,United States,USA,1,10,2471,Ivan Lendl,1,Czech Republic,CZE,2,-10,2399,6-1 6-3,
1984-03-05,Brussels,M,3,P,true,SF,John McEnroe,2,United States,USA,1,1,2470,Thomas Hogstedt,,Sweden,SWE,63,-1,1896,6-3 6-1,Q
1984-03-05,Brussels,M,3,P,true,QF,John McEnroe,2,United States,USA,1,2,2468,Johan Kriek,7,United States,USA,15,-3,2125,6-3 6-1,
1984-03-05,Brussels,M,3,P,true,R16,John McEnroe,2,United States,USA,1,1,2467,Marko Ostoja,,Croatia,CRO,96,-1,1826,6-1 6-2,Q
1984-03-05,Brussels,M,3,P,true,R32,John McEnroe,2,United States,USA,1,1,2466,Tim Mayotte,,United States,USA,16,-1,2051,6-1 6-1,
1984-02-27,Madrid,A,3,P,true,F,John McEnroe,1,United States,USA,1,3,2463,Tomas Smid,6,Czech Republic,CZE,17,-3,2112,6-0 6-4,
1984-02-27,Madrid,A,3,P,true,SF,John McEnroe,1,United States,USA,1,2,2461,Kevin Curren,3,United States,USA,9,-2,2091,6-2 7-6,
1984-02-27,Madrid,A,3,P,true,QF,John McEnroe,1,United States,USA,1,1,2460,Bill Scanlon,5,United States,USA,12,-2,2053,6-4 7-6,
1984-02-27,Madrid,A,3,P,true,R16,John McEnroe,1,United States,USA,1,1,2459,Joakim Nystrom,,Sweden,SWE,27,-1,1976,6-2 6-4,
1984-02-27,Madrid,A,3,P,true,R32,John McEnroe,1,United States,USA,1,2,2457,Wojtek Fibak,,Poland,POL,42,-2,2041,7-5 6-1,
1984-02-24,Davis Cup WG,D,3,P,true,R16,John McEnroe,,United States,USA,1,,2457,Florin Segarceanu,,Romania,ROU,81,,1842,2-6 6-2 6-2,
1984-02-24,Davis Cup WG,D,5,P,true,R16,John McEnroe,,United States,USA,1,1,2456,Ilie Nastase,,Romania,ROU,169,,1795,6-2 6-4 6-2,
1984-02-06,Richmond WCT,B,3,P,true,F,John McEnroe,1,United States,USA,1,1,2455,Steve Denton,7,United States,USA,58,-1,1980,6-3 7-6,
1984-02-06,Richmond WCT,B,3,P,true,SF,John McEnroe,1,United States,USA,1,2,2453,Vitas Gerulaitis,4,United States,USA,20,-2,2076,6-7 6-3 6-1,
1984-02-06,Richmond WCT,B,3,P,true,QF,John McEnroe,1,United States,USA,1,,2453,Stefan Edberg,8,Sweden,SWE,53,-1,1799,6-2 6-3,
1984-02-06,Richmond WCT,B,3,P,true,R16,John McEnroe,1,United States,USA,1,1,2452,Rodney Harmon,,United States,USA,115,,1868,6-3 6-4,
1984-01-23,Philadelphia,M,5,P,true,F,John McEnroe,2,United States,USA,1,12,2440,Ivan Lendl,1,Czech Republic,CZE,2,-12,2399,6-3 3-6 6-3 7-6,
1984-01-23,Philadelphia,M,3,P,true,SF,John McEnroe,2,United States,USA,1,2,2438,Wojtek Fibak,,Poland,POL,42,-2,2034,6-2 7-6,
1984-01-23,Philadelphia,M,3,P,true,QF,John McEnroe,2,United States,USA,1,2,2436,Tomas Smid,11,Czech Republic,CZE,17,-2,2081,6-0 6-3,
1984-01-23,Philadelphia,M,3,P,true,R16,John McEnroe,2,United States,USA,1,1,2435,Scott Davis,15,United States,USA,24,-2,1983,6-1 6-2,
1984-01-23,Philadelphia,M,3,P,true,R32,John McEnroe,2,United States,USA,1,2,2433,Peter Fleming,,United States,USA,32,-1,1955,6-4 6-2,
1984-01-10,Masters,F,5,P,true,F,John McEnroe,,United States,USA,1,13,2420,Ivan Lendl,,Czech Republic,CZE,2,-14,2403,6-3 6-4 6-4,
1984-01-10,Masters,F,3,P,true,SF,John McEnroe,,United States,USA,1,11,2409,Mats Wilander,,Sweden,SWE,4,-11,2373,6-2 6-4,
1984-01-10,Masters,F,3,P,true,QF,John McEnroe,,United States,USA,1,3,2406,Johan Kriek,,United States,USA,15,-4,2122,6-4 6-2,